trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.98, 'e': 0.98}",25,0,-91.51796099463306,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.98, 'e': 0.9603999999999999}",20,13,-56.503701588934746,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.98, 'e': 0.9411919999999999}",20,0,-65.38044074781752,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.98, 'e': 0.9223681599999999}",20,0,-162.8183718694479,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
5,False,"{'a': 0.98, 'e': 0.9039207967999999}",30,0,-140.40353019378944,"{0: 18, 1: 0, 2: 10, 3: 1, 4: 1}",0
6,False,"{'a': 0.98, 'e': 0.8858423808639999}",20,0,-77.09943106925515,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.98, 'e': 0.8681255332467199}",20,0,-54.15331678952372,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.98, 'e': 0.8507630225817855}",25,0,-50.78724092796632,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.98, 'e': 0.8337477621301498}",25,0,-165.44422561226486,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.98, 'e': 0.8170728068875467}",25,0,-145.7829793237446,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.98, 'e': 0.8007313507497958}",20,0,-102.7086043919728,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.98, 'e': 0.7847167237347998}",20,0,-89.16305950604149,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.98, 'e': 0.7690223892601039}",30,3,-103.96550937523193,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 2}",1
14,False,"{'a': 0.98, 'e': 0.7536419414749017}",20,0,-62.83061579505867,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.98, 'e': 0.7385691026454038}",30,2,-57.68619634598045,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 0}",1
16,False,"{'a': 0.98, 'e': 0.7237977205924956}",30,16,-2.0042826231701105,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.98, 'e': 0.7093217661806457}",20,0,-36.860367761191895,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.98, 'e': 0.6951353308570328}",20,12,-9.285430767852757,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.98, 'e': 0.6812326242398921}",25,0,-85.53233068568915,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.98, 'e': 0.6676079717550942}",20,0,-3.8408964644999077,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.98, 'e': 0.6542558123199923}",20,0,17.559683398374318,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.98, 'e': 0.6411706960735924}",20,0,-20.916430586048115,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.98, 'e': 0.6283472821521207}",20,13,-38.7856399813754,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.98, 'e': 0.6157803365090782}",25,0,-88.40692610850806,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.98, 'e': 0.6034647297788966}",30,0,-97.40287587504814,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
26,False,"{'a': 0.98, 'e': 0.5913954351833187}",25,0,-63.12722909742636,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.98, 'e': 0.5795675264796523}",25,0,-79.85059206983173,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.98, 'e': 0.5679761759500592}",25,0,-28.675757130064863,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
29,False,"{'a': 0.98, 'e': 0.5566166524310581}",25,6,-99.30802025955418,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 3}",1
30,False,"{'a': 0.98, 'e': 0.5454843193824369}",30,3,-50.594901664539165,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 1}",1
31,False,"{'a': 0.98, 'e': 0.5345746329947881}",25,0,-104.10651676628328,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.98, 'e': 0.5238831403348924}",20,11,-6.2589632157709705,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.98, 'e': 0.5134054775281945}",20,6,-32.105053655907476,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.98, 'e': 0.5031373679776306}",20,0,14.828707705407528,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.98, 'e': 0.493074620618078}",20,0,-59.427443519063225,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.98, 'e': 0.48321312820571644}",20,0,-4.706518434843186,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.98, 'e': 0.4735488656416021}",20,4,-6.314199728903075,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
38,False,"{'a': 0.98, 'e': 0.46407788832877006}",20,0,0.2727863960922772,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.98, 'e': 0.4547963305621946}",20,4,-9.87287592775819,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.98, 'e': 0.44570040395095073}",25,0,-37.62254669719063,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.98, 'e': 0.4367863958719317}",20,0,-23.601280310556234,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.98, 'e': 0.42805066795449304}",20,0,-43.38838297966692,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
43,False,"{'a': 0.98, 'e': 0.41948965459540316}",20,11,-5.177197432474303,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.98, 'e': 0.4110998615034951}",20,12,9.895192666785343,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.98, 'e': 0.4028778642734252}",20,15,2.3932826672685357,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.98, 'e': 0.3948203069879567}",20,0,-49.19494349092187,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
47,False,"{'a': 0.98, 'e': 0.38692390084819756}",25,0,-10.286652062771674,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.98, 'e': 0.3791854228312336}",25,0,-82.60319494801797,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.98, 'e': 0.3716017143746089}",30,7,-31.2391605675785,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 0}",1
50,False,"{'a': 0.98, 'e': 0.36416968008711675}",25,0,-47.115495133507984,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.98, 'e': 0.3568862864853744}",35,7,-55.90277417798289,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.98, 'e': 0.3497485607556669}",20,0,19.01934723579433,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.98, 'e': 0.34275358954055357}",25,17,-26.80613388835786,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.98, 'e': 0.3358985177497425}",25,12,12.016800569094748,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.98, 'e': 0.3291805473947476}",20,4,-2.9806579149268133,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.98, 'e': 0.32259693644685267}",20,11,17.812905344792746,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.98, 'e': 0.3161449977179156}",20,0,-2.1668512760307532,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
58,False,"{'a': 0.98, 'e': 0.3098220977635573}",20,16,6.306311869334339,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.98, 'e': 0.30362565580828615}",20,14,10.03930260953793,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.98, 'e': 0.2975531426921204}",20,6,14.59082699559118,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.98, 'e': 0.291602079838278}",25,4,-25.576494230540543,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 0}",1
62,False,"{'a': 0.98, 'e': 0.2857700382415124}",25,3,23.600878729609363,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.98, 'e': 0.2800546374766822}",20,13,12.748561182431482,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.98, 'e': 0.2744535447271485}",25,16,13.97769018881505,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.98, 'e': 0.2689644738326056}",20,0,-18.873667933079673,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.98, 'e': 0.26358518435595346}",25,10,0.46325891948371956,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.98, 'e': 0.25831348066883436}",30,7,-50.16581583616682,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
68,False,"{'a': 0.98, 'e': 0.2531472110554577}",25,20,10.169354676601078,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.98, 'e': 0.2480842668343485}",30,17,-17.51942662559901,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.98, 'e': 0.24312258149766153}",25,2,-15.588584335617838,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.98, 'e': 0.2382601298677083}",20,10,19.37920403336534,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.98, 'e': 0.23349492727035415}",25,0,32.20167564366761,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.98, 'e': 0.22882502872494706}",25,0,3.7069394068420216,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.98, 'e': 0.2242485281504481}",20,12,-54.732908455721365,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.98, 'e': 0.21976355758743912}",25,12,-10.200113576196507,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.98, 'e': 0.21536828643569034}",30,17,22.14973898217079,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.98, 'e': 0.21106092070697655}",25,8,6.335579493176581,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.98, 'e': 0.206839702292837}",20,9,7.538430337997935,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.98, 'e': 0.20270290824698026}",25,8,-35.743974754358305,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
