trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.46187815144307,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,13,-41.106388311347345,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.48599970234056,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.12588628005166,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.32412646551546,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.11526594497005,"{0: 12, 1: 0, 2: 4, 3: 4, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.9486988015408,"{0: 14, 1: 6, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.41251267319057,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.0936273405593,"{0: 11, 1: 7, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-266.0348415658949,"{0: 15, 1: 4, 2: 2, 3: 6, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.90564034370757,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.900170090628,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.4103636770259,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.27005030852632,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.84746428634622,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-229.47875202468444,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.09694444837714,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.1322291626703,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.98521435168692,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,3,-125.9309303429981,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.8010212985744,"{0: 14, 1: 7, 2: 5, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.536794837168614,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.20076602202838,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.74768761498936,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.00832479282266,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.0904474617228,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-12.113858552118614,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.5527679658366,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.5579620596444,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.3304821552943,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
